	author	author_type	url	location	deal_type	accommodation_type	floor	floors_count	rooms_count	total_meters	price	district	street	house_number	underground	residential_complex
166	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/301919439/	Москва	sale	flat	2	10	1	42.4	18020000			В17 кв-л	Опалиха	Сберсити ЖК
167	PROНЕДВИЖИМОСТЬ	real_estate_agent	https://www.cian.ru/sale/flat/298966070/	Москва	sale	flat	2	9	2	44.4	12000000	Новогиреево	 Алексея Дикого	20	Новогиреево	
168	Пионер	developer	https://www.cian.ru/sale/flat/301459888/	Москва	sale	flat	6	18	2	48.4	36518949	Донской	2-й Донской проезд	10	Ленинский проспект	SHIFT
169	HOUSE MALL - Городская недвижимость	real_estate_agent	https://www.cian.ru/sale/flat/299203876/	Москва	sale	flat	2	10	1	35.0	13100000	Ростокино	проспект Мира	188Бк2	Ростокино	Триколор
170	СИТИ21	developer	https://www.cian.ru/sale/flat/301268679/	Москва	sale	flat	4	15	1	32.6	12802234	Останкинский	проспект Мира	95	Алексеевская	Hill8
171	Барно Турсунова	realtor	https://www.cian.ru/sale/flat/304102478/	Москва	sale	flat	7	17	2	50.9	15480000	Останкинский	Березовая аллея	19к6	Ботанический сад	Апарт-комплекс Легендарный квартал
172	Upside Development	developer	https://www.cian.ru/sale/flat/303215966/	Москва	sale	flat	11	12	2	77.0	47740000	Даниловский	2-я Рощинская 	1	Тульская	Данилов дом
173	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/300610100/	Москва	sale	flat	3	24	2	70.0	46500000	Хорошево-Мневники	Шелепихинская набережная	34к3зд7	Шелепиха	Сердце Столицы
174	Capital Group	developer	https://www.cian.ru/sale/flat/301482894/	Москва	sale	flat	11	18	2	45.8	56907301	Дорогомилово			Москва-Сити	Бадаевский ЖК
175	Kalinka Group	real_estate_agent	https://www.cian.ru/sale/flat/299888104/	Москва	sale	flat	44	65	1	52.0	41000000	Пресненский	1-й Красногвардейский проезд	22с1	Москва-Сити	NEVA TOWERS
176	MR Group	developer	https://www.cian.ru/sale/flat/300288766/	Москва	sale	flat	40	54	1	29.14	19101464	Савеловский	2-я Хуторская 	34	Дмитровская	SYMPHONY 34
177	Intermark Real Estate	real_estate_agent	https://www.cian.ru/sale/flat/303564346/	Москва	sale	flat	3	20	2	56.6	64186000	Пресненский	2-я Звенигородская 	16	Улица 1905 года	Lucky
178	Мангазея	developer	https://www.cian.ru/sale/flat/302850687/	Москва	sale	flat	4	21	1	48.0	24209040	Щукино	Щукинская 	3	Щукинская	Интонация
179	HYDE Residences	real_estate_agent	https://www.cian.ru/sale/flat/301809971/	Москва	sale	flat	58	78	2	75.0	45000000	Пресненский	1-й Красногвардейский проезд	22с2	Москва-Сити	NEVA TOWERS
180	MR Group	developer	https://www.cian.ru/sale/flat/290790439/	Москва	sale	flat	2	57	2	58.48	32674530	Филевский парк			Фили	Фили Сити ЖК
181	Intermark Real Estate	real_estate_agent	https://www.cian.ru/sale/flat/297935793/	Москва	sale	flat	3	5	2	52.0	39000000	Донской	4-й Верхний Михайловский проезд	4к1	Шаболовская	
182	Tekta Group	developer	https://www.cian.ru/sale/flat/303224373/	Москва	sale	flat	7	34	1	30.0	16284000	Обручевский			Воронцовская	Эвер ЖК
183	HYDE Residences	real_estate_agent	https://www.cian.ru/sale/flat/303291308/	Москва	sale	flat	50	78	2	64.0	45000000	Пресненский	1-й Красногвардейский проезд	22с2	Москва-Сити	NEVA TOWERS
184	Основа	developer	https://www.cian.ru/sale/flat/287742395/	Москва	sale	flat	3	20	2	34.81	9416105	Северный	Новодачная 	67/68	Новодачная	ФизтехСити
185	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/301042658/	Москва	sale	flat	24	79	1	72.0	63000000	Пресненский	1-й Красногвардейский проезд	22с1	Москва-Сити	NEVA TOWERS
186	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/291868741/	Москва	sale	flat	3	13	1	54.02	30299818			В20 кв-л	Павшино	Сберсити ЖК
187	PROНЕДВИЖИМОСТЬ	real_estate_agent	https://www.cian.ru/sale/flat/303633126/	Москва	sale	flat	8	9	2	41.0	11290000	Люблино	 Верхние Поля	7К2	Братиславская	
188	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/299137613/	Москва	sale	flat	4	12	1	45.87	23045088			В19 кв-л	Павшино	Сберсити ЖК
189	CENTURY 21 Столичная недвижимость	real_estate_agent	https://www.cian.ru/sale/flat/302178019/	Москва	sale	flat	2	12	2	66.5	22800000	Даниловский	3-я оч.	3-я оч.	Технопарк	Шагал ЖК
190	Пионер	developer	https://www.cian.ru/sale/flat/301459957/	Москва	sale	flat	4	11	1	56.1	52874642	Даниловский			Павелецкая	Опус ЖК
191	Kalinka Group	real_estate_agent	https://www.cian.ru/sale/flat/297313098/	Москва	sale	flat	3	21	2	56.6	64186000	Пресненский	2-я Звенигородская 	16	Улица 1905 года	Lucky
192	Level Group	developer	https://www.cian.ru/sale/flat/304073512/	Москва	sale	flat	2	48	2	35.4	22844985	Очаково-Матвеевское		к8	Аминьевская	Левел Мичуринский ЖК
193	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/302626552/	Москва	sale	flat	18	79	2	71.8	50000000	Пресненский	1-й Красногвардейский проезд	22с2	Москва-Сити	NEVA TOWERS
194	Level Group	developer	https://www.cian.ru/sale/flat/298671589/	Москва	sale	flat	3	17	2	39.8	25553054	Басманный	Большая Почтовая 		Электрозаводская	Level Бауманская
195	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/287929947/	Москва	sale	flat	7	22	2	75.0	40000000	Раменки	Минская 	1ГК1	Ломоносовский проспект	Золотые Ключи 2
196	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/300423805/	Москва	sale	flat	2	13	1	56.19	26499204			В21 кв-л	Опалиха	Сберсити ЖК
197	Unique	real_estate_agent	https://www.cian.ru/sale/flat/287678758/	Москва	sale	flat	4	26	1	46.0	32000000	Очаково-Матвеевское	Нежинская 	5к2	Давыдково	Городские резиденции SPIRES
198	MR Group	developer	https://www.cian.ru/sale/flat/303451581/	Москва	sale	flat	11	29	2	55.8	21011728	Южнопортовый	Волгоградский проспект	32/3к4	Дубровка	Метрополия
